city,lat,lon,country
Visakhapatnam,17.6868,83.2185,India
Surat,21.1702,72.8311,India
Nagpur,21.1458,79.0882,India
Indore,22.7196,75.8577,India
Bhopal,23.2599,77.4126,India
Thiruvananthapuram,8.5241,76.9366,India
Mysore,12.2958,76.6394,India
Beijing,39.9042,116.4074,China
Shanghai,31.2304,121.4737,China
Guangzhou,23.1291,113.2644,China
Shenzhen,22.5431,114.0579,China
Tokyo,35.6895,139.6917,Japan
Osaka,34.6937,135.5023,Japan
Seoul,37.5665,126.978,South Korea
Busan,35.1796,129.0756,South Korea
Singapore,1.3521,103.8198,Singapore
Bangkok,13.7563,100.5018,Thailand
Kuala Lumpur,3.139,101.6869,Malaysia
Jakarta,-6.2088,106.8456,Indonesia
Manila,14.5995,120.9842,Philippines
Ho Chi Minh City,10.8231,106.6297,Vietnam
Hanoi,21.0278,105.8342,Vietnam
Taipei,25.033,121.5654,Taiwan
Hong Kong,22.3193,114.1694,China
Sydney,-33.8688,151.2093,Australia
Melbourne,-37.8136,144.9631,Australia
Brisbane,-27.4698,153.0251,Australia
Perth,-31.9505,115.8605,Australia
Auckland,-36.8485,174.7633,New Zealand
Tehran,35.6892,51.389,Iran
Baghdad,33.3152,44.3661,Iraq
Kanpur,26.4499,80.3319,India
Thane,19.2183,72.9781,India
Pimpri-Chinchwad,18.6298,73.7997,India
Patna,25.5941,85.1376,India
Vadodara,22.3072,73.1812,India
Ghaziabad,28.6692,77.4538,India
Ludhiana,30.901,75.8573,India
Agra,27.1767,78.0081,India
Nashik,19.9975,73.7898,India
Faridabad,28.4089,77.3178,India
Meerut,28.9845,77.7064,India
Rajkot,22.3039,70.8022,India
Kalyan-Dombivli,19.2433,73.135,India
Vasai-Virar,19.3919,72.8397,India
Varanasi,25.3176,82.9739,India
Srinagar,34.0837,74.7973,India
Aurangabad,19.8762,75.3433,India
Dhanbad,23.7957,86.4304,India
Amritsar,31.634,74.8723,India
Navi Mumbai,19.033,73.0297,India
Allahabad,25.4358,81.8463,India
Howrah,22.5958,88.2636,India
Ranchi,23.3441,85.3096,India
Gwalior,26.2183,78.1828,India
Jabalpur,23.167,79.9322,India
Vijayawada,16.5062,80.648,India
Jodhpur,26.2389,73.0243,India
Madurai,9.9252,78.1198,India
Raipur,21.2514,81.6296,India
Kota,25.1767,75.8333,India
Guwahati,26.1158,91.7086,India
Solapur,17.6599,75.9064,India
Hubli-Dharwad,15.3647,75.124,India
Bareilly,28.367,79.4304,India
Moradabad,28.8351,78.7733,India
Gurgaon,28.4595,77.0266,India
Aligarh,27.8974,78.088,India
Jalandhar,31.326,75.5762,India
Tiruchirappalli,10.7905,78.7047,India
Bhubaneswar,20.2961,85.8245,India
Salem,11.6643,78.146,India
Mira-Bhayandar,19.2813,72.8557,India
Warangal,17.9689,79.5941,India
Guntur,16.3067,80.4365,India
Bhiwandi,19.2812,73.0483,India
Saharanpur,29.964,77.546,India
Gorakhpur,26.7606,83.3731,India
Bikaner,28.0229,73.3119,India
Amravati,20.932,77.7523,India
Noida,28.5355,77.391,India
Jamshedpur,22.8046,86.2029,India
Bhilai,21.1938,81.3509,India
Cuttack,20.4625,85.883,India
Firozabad,27.1513,78.4011,India
Nellore,14.4426,79.9865,India
Bhavnagar,21.7645,72.1519,India
Dehradun,30.3165,78.0322,India
Durgapur,23.4846,87.3215,India
Asansol,23.6739,86.9524,India
Rourkela,22.2604,84.8536,India
Nanded,19.1628,77.3183,India
Kolhapur,16.705,74.2433,India
Ajmer,26.4499,74.6399,India
Akola,20.7002,77.0082,India
Gulbarga,17.3285,76.8344,India
Jamnagar,22.4707,70.0577,India
Ujjain,23.176,75.7885,India
Loni,28.75,77.2833,India
Siliguri,26.7271,88.3953,India
Jhansi,25.4484,78.5685,India
Ulhasnagar,19.2215,73.1645,India
Jammu,32.7266,74.857,India
Sangli-Miraj & Kupwad,16.8524,74.5815,India
Mangalore,12.9141,74.856,India
Belgaum,15.8497,74.4977,India
Ambattur,13.1143,80.1482,India
Tirunelveli,8.7139,77.7567,India
Malegaon,20.551,74.5085,India
Gaya,24.7914,84.9994,India
Jalgaon,21.0077,75.5626,India
Udaipur,24.5854,73.7125,India
Maheshtala,22.5085,88.253,India
